City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,progreso,21.2833,-89.6667,29.42,82,86,1.48,MX,1727406435
246,santa terezinha,-29.9002,-50.0904,16.79,96,100,4.36,BR,1727406436
247,oriximina,-1.7656,-55.8661,28.04,58,29,1.81,BR,1727406437
248,haapsalu,58.9431,23.5414,15.57,94,100,8.98,EE,1727406438
249,mokopane,-24.1944,29.0097,18.75,19,2,0.74,ZA,1727406440
250,muisne,0.6,-80.0333,23.87,83,100,2.88,EC,1727406441
251,kenai,60.5544,-151.2583,9.52,91,100,2.57,US,1727406442
252,sinabang,2.4803,96.3801,29.32,70,50,1.52,ID,1727406443
253,bamboo flat,11.7,92.7167,30.05,79,20,2.06,IN,1727406445
254,al kharijah,25.4514,30.5464,23.19,41,0,3.57,EG,1727406446
255,cosala,24.4125,-106.6908,25.91,78,0,1.33,MX,1727406448
256,trondheim,63.4305,10.3951,6.03,96,100,2.44,NO,1727406449
257,kailua-kona,19.6406,-155.9956,27.38,87,100,2.77,US,1727406451
258,codrington,-38.2667,141.9667,15.54,52,0,2.0,AU,1727406452
259,fort st. john,56.2499,-120.8529,7.95,44,100,1.09,CA,1727406453
260,nanning,22.8167,108.3167,28.25,69,20,1.57,CN,1727406266
261,pahrump,36.2083,-115.9839,28.02,16,0,0.45,US,1727406428
262,stovring,56.8854,9.8384,11.01,95,100,3.23,DK,1727406457
263,kurchatov,51.6601,35.6521,14.0,58,86,5.13,RU,1727406208
264,mercedes,-34.6515,-59.4307,9.88,87,0,3.47,AR,1727406459
265,garoowe,8.4054,48.4845,24.75,57,100,9.86,SO,1727406460
266,sao jose da coroa grande,-8.8978,-35.1478,23.36,87,27,4.38,BR,1727406461
267,walvis bay,-22.9575,14.5053,14.95,76,66,2.25,NA,1727406462
268,valera,9.3178,-70.6036,22.08,95,97,3.28,VE,1727406464
269,tabou,4.423,-7.3528,24.36,91,99,3.28,CI,1727406466
270,quang ngai,15.1167,108.8,30.74,64,87,1.91,VN,1727406467
271,thunder bay,48.4001,-89.3168,14.99,100,0,2.57,CA,1727405873
272,island harbour,50.724,-1.2758,11.68,93,100,3.13,GB,1727406469
273,palikir - national government center,6.9248,158.1611,31.47,66,75,3.09,FM,1727406471
274,monrovia,6.3005,-10.7969,24.98,90,96,3.8,LR,1727406472
275,micheweni,-4.9667,39.8333,23.78,81,15,4.2,TZ,1727406473
276,shalqar,47.8333,59.6,9.39,40,0,3.0,KZ,1727406475
277,diawara,15.022,-12.5437,27.48,76,78,1.78,SN,1727406476
278,eraan,9.0629,117.7016,30.64,63,89,2.53,PH,1727406477
279,yesan,36.6776,126.8427,25.19,63,54,2.48,KR,1727406255
280,ust'-kut,56.7938,105.7672,7.05,42,9,1.19,RU,1727406480
281,pacific grove,36.6177,-121.9166,15.82,94,40,1.54,US,1727406481
282,vernon,50.2581,-119.2691,15.42,66,100,0.89,CA,1727406482
283,zahedan,29.4963,60.8629,18.95,37,0,2.06,IR,1727406483
284,yessentuki,44.0444,42.8606,12.05,94,100,2.91,RU,1727406484
285,orsa,54.5153,30.4053,15.62,85,100,7.77,BY,1727406485
286,peterhead,57.5058,-1.7981,9.61,68,63,12.79,GB,1727406281
287,vila franca do campo,37.7167,-25.4333,21.23,79,100,1.99,PT,1727406489
288,zelenchukskaya,43.858,41.5894,11.93,70,100,2.15,RU,1727406491
289,vredendal,-31.6683,18.5012,11.54,90,88,0.75,ZA,1727406492
290,melilla,35.2937,-2.9383,22.21,73,0,5.14,ES,1727406493
291,jaffa,32.0504,34.7522,23.38,79,20,1.03,IL,1727406495
292,fortuna,40.5982,-124.1573,12.74,85,0,3.6,US,1727406335
293,new norfolk,-42.7826,147.0587,17.18,36,33,1.85,AU,1727406497
294,mossel bay,-34.1831,22.146,15.33,87,36,2.94,ZA,1727406498
295,kamina,-8.7386,24.9906,20.35,44,48,1.54,CD,1727406500
296,mount darwin,-16.7725,31.5838,16.85,39,0,1.3,ZW,1727406501
297,the pas,53.8251,-101.2541,14.1,67,46,9.25,CA,1727406502
298,krasnoshchekovo,51.6708,82.7289,1.93,93,100,2.8,RU,1727406503
299,ambalangoda,6.2355,80.0538,27.6,80,99,7.02,LK,1727406505
300,susuman,62.7833,148.1667,7.95,50,2,1.46,RU,1727406506
301,crane,31.3974,-102.3501,24.17,34,0,4.12,US,1727406507
302,maych'ew,12.7875,39.5422,14.25,64,86,1.16,ET,1727406510
303,dededo village,13.5178,144.8391,30.9,72,40,4.63,GU,1727406511
304,aleg,17.0481,-13.9209,29.82,61,100,4.75,MR,1727406512
305,kuybyshev,55.4475,78.3218,1.0,79,34,2.9,RU,1727406513
